	name	explicit	artists	album_name	key	mode	time_signature	genre	duration_ms	popularity	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo
13256	Doschitai	False	Locked Club	Irak	0	1.0	4.0	industrial	0.0634298263632899	0.4431818181818182	0.7108329736728528	0.8769975153498101	0.816009005568175	0.0335829112530279	0.0010240963855421	0.856	0.0720684039087947	0.2331658291457286	0.5240821648449288
13257	Jalaluddin	False	Gravity	Hustle 2.0	2	1.0	4.0	indian	0.0386853631772292	0.3863636363636363	0.8100992662926199	0.6779934954686085	0.7985004120851509	0.1026205681567936	0.3865461847389558	0.0	0.1113599348534202	0.5346733668341709	0.471533046271615
13258	Junglist - Deekline & Aries Remix	False	Ed Solo;Deekline;General Levy;Aries	Junglist	8	1.0	4.0	breakbeat	0.0570282931180102	0.1590909090909091	0.8090202848511007	0.6759934550677924	0.8520915834120651	0.0453644571680246	0.0135542168674698	6.47e-05	0.042650651465798	0.2341708542713568	0.3032602009432028
13259	It's Not Over Yet	False	for KING & COUNTRY	RUN WILD. LIVE FREE. LOVE STRONG. (Deluxe Anniversary Edition)	7	1.0	4.0	indian	0.0481934941490864	0.625	0.5630125161847216	0.6039920006384129	0.7913643033750779	0.0246641708874697	0.0150602409638554	0.0	0.0619910423452768	0.5195979899497487	0.2347597041056134
13260	Scape I - Live	False	alva noto;Ryuichi Sakamoto	Two (Live at Sydney Opera House)	3	1.0	1.0	idm	0.0369161589434347	0.1136363636363636	0.1260250323694432	0.0858815348070031	0.4159848835105635	0.0271966527196652	0.9748995983935744	0.543	0.3118892508143323	0.0331658291457286	0.709205427884944
13261	Better Than This - Original	False	Paul Johnson	Better Than This	3	1.0	4.0	chicago-house	0.0563244660062483	0.0454545454545454	0.7550712127751403	0.3339865465282399	0.6058455786278569	0.0247742787932173	0.2700803212851406	0.125	0.0991449511400651	0.8874371859296483	0.3873125029573666
13262	"Spider-Man Theme (From ""Spider-Man"")"	False	The Countdown Kids	Happy Halloween! (Spooky Favorites for Kids)	1	1.0	4.0	disney	0.0105169091719041	0.0	0.6514889943892965	0.9539990707812296	0.8250748788871691	0.077626073552081	0.2600401606425703	0.0	0.314942996742671	0.9095477386934674	0.3930327071602446
13263	天轟回來到	True	Asiaboy 禁藥王 ＆ Lizi 栗子	天轟回來到	10	0.0	4.0	mandopop	0.0315658530896912	0.25	0.7000431592576607	0.936998727374293	0.8740828592678956	0.1158335168465095	0.0068172690763052	0.0	0.3220684039087948	0.5608040201005026	0.6292802952634816
13264	Ice Cold	False	Tube & Berger;Armaja	EDM Gaming Music Autumn/Winter 2022	5	1.0	4.0	techno	0.0370569243657871	0.0	0.7399654725938714	0.7229944044869706	0.8366132631113434	0.0121118696322395	0.2891566265060241	0.0	0.1093241042345277	0.4311557788944724	0.4926736171353764
13265	I'll See You There	False	The Chemical Brothers	Born In The Echoes (Deluxe Edition)	2	1.0	4.0	breakbeat	0.0582651747320943	0.1931818181818181	0.4151920586965905	0.8999979799591952	0.8407944197640058	0.0622109667474124	0.0081827309236947	0.609	0.1439332247557003	0.3065326633165829	0.4977155985972881
13266	ときめきHighレンジ!!!	False	SUPER☆GiRLS	超絶★学園 〜ときめきHighレンジ!!!〜	6	1.0	4.0	j-idol	0.0508934091043269	0.2159090909090909	0.5144583513163574	0.9429988485767412	0.8738215369771041	0.0357850693679806	0.0092369477911646	0.0	0.0864210097719869	0.850251256281407	0.7082695856532232
